country,country_code,year,material,recovered_material_tonnes,documented_recycled_tonnes,e_waste_generated_tonnes,recycling_rate_pct
Austria,AUT,2010,copper,,,,79.9
Austria,AUT,2011,copper,,,,81.5
Austria,AUT,2012,copper,,,,80.0
Austria,AUT,2013,copper,,,,79.0
Austria,AUT,2014,copper,,,,79.6
Austria,AUT,2015,copper,,,,81.1
Austria,AUT,2016,copper,,,,81.8
Austria,AUT,2017,copper,,,,80.2
Austria,AUT,2018,copper,,,,79.8
Belgium,BEL,2010,copper,,,,80.2
Belgium,BEL,2011,copper,,,,77.7
Belgium,BEL,2012,copper,,,,78.4
Belgium,BEL,2013,copper,,,,79.1
Belgium,BEL,2014,copper,,,,76.7
Belgium,BEL,2015,copper,,,,77.4
Belgium,BEL,2016,copper,,,,72.5
Belgium,BEL,2017,copper,,,,75.1
Belgium,BEL,2018,copper,,,,72.5
Bulgaria,BGR,2010,copper,,,,78.4
Bulgaria,BGR,2011,copper,,,,82.3
Bulgaria,BGR,2012,copper,,,,84.0
Bulgaria,BGR,2013,copper,,,,83.5
Bulgaria,BGR,2014,copper,,,,84.9
Bulgaria,BGR,2015,copper,,,,85.6
Bulgaria,BGR,2016,copper,,,,81.5
Bulgaria,BGR,2017,copper,,,,83.7
Bulgaria,BGR,2018,copper,,,,81.0
Croatia,HRV,2012,copper,,,,92.3
Croatia,HRV,2013,copper,,,,97.4
Croatia,HRV,2014,copper,,,,95.7
Croatia,HRV,2015,copper,,,,92.5
Croatia,HRV,2016,copper,,,,96.3
Croatia,HRV,2017,copper,,,,95.2
Croatia,HRV,2018,copper,,,,91.2
Cyprus,CYP,2010,copper,,,,71.6
Cyprus,CYP,2011,copper,,,,78.9
Cyprus,CYP,2012,copper,,,,86.6
Cyprus,CYP,2013,copper,,,,80.3
Cyprus,CYP,2014,copper,,,,89.4
Cyprus,CYP,2015,copper,,,,91.0
Cyprus,CYP,2016,copper,,,,87.8
Cyprus,CYP,2017,copper,,,,78.3
Czechia,CZE,2010,copper,,,,86.7
Czechia,CZE,2011,copper,,,,86.8
Czechia,CZE,2012,copper,,,,80.6
Czechia,CZE,2013,copper,,,,91.1
Czechia,CZE,2014,copper,,,,85.5
Czechia,CZE,2015,copper,,,,82.5
Czechia,CZE,2016,copper,,,,90.0
Czechia,CZE,2017,copper,,,,86.9
Czechia,CZE,2018,copper,,,,84.7
Denmark,DNK,2010,copper,,,,83.5
Denmark,DNK,2011,copper,,,,92.0
Denmark,DNK,2012,copper,,,,84.4
Denmark,DNK,2013,copper,,,,82.6
Denmark,DNK,2014,copper,,,,83.0
Denmark,DNK,2015,copper,,,,84.2
Denmark,DNK,2016,copper,,,,86.4
Denmark,DNK,2017,copper,,,,85.8
Denmark,DNK,2018,copper,,,,80.7
Estonia,EST,2010,copper,,,,82.7
Estonia,EST,2011,copper,,,,69.5
Estonia,EST,2012,copper,,,,80.4
Estonia,EST,2013,copper,,,,66.0
Estonia,EST,2014,copper,,,,85.1
Estonia,EST,2015,copper,,,,86.7
Estonia,EST,2016,copper,,,,86.7
Estonia,EST,2017,copper,,,,85.7
Estonia,EST,2018,copper,,,,85.7
Finland,FIN,2010,copper,,,,88.5
Finland,FIN,2011,copper,,,,89.1
Finland,FIN,2012,copper,,,,89.4
Finland,FIN,2013,copper,,,,87.9
Finland,FIN,2014,copper,,,,87.8
Finland,FIN,2015,copper,,,,92.5
Finland,FIN,2016,copper,,,,88.9
Finland,FIN,2017,copper,,,,90.0
Finland,FIN,2018,copper,,,,89.7
France,FRA,2010,copper,,,,77.4
France,FRA,2011,copper,,,,77.9
France,FRA,2012,copper,,,,76.7
France,FRA,2013,copper,,,,78.7
France,FRA,2014,copper,,,,80.8
France,FRA,2015,copper,,,,81.9
France,FRA,2016,copper,,,,81.9
France,FRA,2017,copper,,,,81.9
France,FRA,2018,copper,,,,74.2
Germany,DEU,2010,copper,,,,82.8
Germany,DEU,2011,copper,,,,83.9
Germany,DEU,2012,copper,,,,83.5
Germany,DEU,2013,copper,,,,82.8
Germany,DEU,2014,copper,,,,84.2
Germany,DEU,2015,copper,,,,79.3
Germany,DEU,2016,copper,,,,86.7
Germany,DEU,2017,copper,,,,85.8
Germany,DEU,2018,copper,,,,85.6
Greece,GRC,2010,copper,,,,98.0
Greece,GRC,2011,copper,,,,90.9
Greece,GRC,2012,copper,,,,90.2
Greece,GRC,2013,copper,,,,90.6
Greece,GRC,2014,copper,,,,84.0
Greece,GRC,2015,copper,,,,89.6
Greece,GRC,2016,copper,,,,85.4
Greece,GRC,2017,copper,,,,78.8
Greece,GRC,2018,copper,,,,80.7
Hungary,HUN,2010,copper,,,,82.3
Hungary,HUN,2011,copper,,,,87.7
Hungary,HUN,2012,copper,,,,81.5
Hungary,HUN,2013,copper,,,,87.7
Hungary,HUN,2014,copper,,,,87.0
Hungary,HUN,2015,copper,,,,83.3
Hungary,HUN,2016,copper,,,,84.0
Hungary,HUN,2017,copper,,,,84.2
Hungary,HUN,2018,copper,,,,83.5
Hungary,HUN,2019,copper,,,,68.12
Hungary,HUN,2020,copper,,,,68.13
Iceland,ISL,2010,copper,,,,66.6
Iceland,ISL,2011,copper,,,,71.3
Iceland,ISL,2012,copper,,,,73.8
Iceland,ISL,2013,copper,,,,63.8
Iceland,ISL,2014,copper,,,,73.7
Iceland,ISL,2015,copper,,,,76.2
Iceland,ISL,2016,copper,,,,79.2
Iceland,ISL,2017,copper,,,,92.0
Iceland,ISL,2018,copper,,,,90.4
Iceland,ISL,2020,copper,,,,91.92
Ireland,IRL,2010,copper,,,,80.3
Ireland,IRL,2011,copper,,,,82.1
Ireland,IRL,2012,copper,,,,83.4
Ireland,IRL,2013,copper,,,,83.3
Ireland,IRL,2014,copper,,,,83.7
Ireland,IRL,2015,copper,,,,83.2
Ireland,IRL,2016,copper,,,,85.1
Ireland,IRL,2017,copper,,,,83.8
Ireland,IRL,2018,copper,,,,82.9
Italy,ITA,2010,copper,,,,86.2
Italy,ITA,2011,copper,,,,93.1
Italy,ITA,2012,copper,,,,80.0
Italy,ITA,2013,copper,,,,88.0
Italy,ITA,2014,copper,,,,82.3
Italy,ITA,2015,copper,,,,85.7
