country,country_code,year,ewaste_recycling_rate_pct
Austria,AUT,2005,73.1
Austria,AUT,2006,79.5
Austria,AUT,2007,78.7
Austria,AUT,2008,79.7
Austria,AUT,2009,79.0
Austria,AUT,2010,79.9
Austria,AUT,2011,81.5
Austria,AUT,2012,80.0
Austria,AUT,2013,79.0
Austria,AUT,2014,79.6
Austria,AUT,2015,81.1
Austria,AUT,2016,81.8
Austria,AUT,2017,80.2
Austria,AUT,2018,79.8
Belgium,BEL,2005,73.8
Belgium,BEL,2006,76.7
Belgium,BEL,2007,79.9
Belgium,BEL,2008,77.0
Belgium,BEL,2009,78.0
Belgium,BEL,2010,80.2
Belgium,BEL,2011,77.7
Belgium,BEL,2012,78.4
Belgium,BEL,2013,79.1
Belgium,BEL,2014,76.7
Belgium,BEL,2015,77.4
Belgium,BEL,2016,72.5
Belgium,BEL,2017,75.1
Belgium,BEL,2018,72.5
Bulgaria,BGR,2007,63.8
Bulgaria,BGR,2008,65.1
Bulgaria,BGR,2009,76.3
Bulgaria,BGR,2010,78.4
Bulgaria,BGR,2011,82.3
Bulgaria,BGR,2012,84.0
Bulgaria,BGR,2013,83.5
Bulgaria,BGR,2014,84.9
Bulgaria,BGR,2015,85.6
Bulgaria,BGR,2016,81.5
Bulgaria,BGR,2017,83.7
Bulgaria,BGR,2018,81.0
Croatia,HRV,2012,92.3
Croatia,HRV,2013,97.4
Croatia,HRV,2014,95.7
Croatia,HRV,2015,92.5
Croatia,HRV,2016,96.3
Croatia,HRV,2017,95.2
Croatia,HRV,2018,91.2
Cyprus,CYP,2009,79.2
Cyprus,CYP,2010,71.6
Cyprus,CYP,2011,78.9
Cyprus,CYP,2012,86.6
Cyprus,CYP,2013,80.3
Cyprus,CYP,2014,89.4
Cyprus,CYP,2015,91.0
Cyprus,CYP,2016,87.8
Cyprus,CYP,2017,78.3
Czechia,CZE,2007,75.4
Czechia,CZE,2008,75.7
Czechia,CZE,2009,74.8
Czechia,CZE,2010,86.7
Czechia,CZE,2011,86.8
Czechia,CZE,2012,80.6
Czechia,CZE,2013,91.1
Czechia,CZE,2014,85.5
Czechia,CZE,2015,82.5
Czechia,CZE,2016,90.0
Czechia,CZE,2017,86.9
Czechia,CZE,2018,84.7
Denmark,DNK,2006,79.9
Denmark,DNK,2007,81.5
Denmark,DNK,2008,90.4
Denmark,DNK,2009,82.6
Denmark,DNK,2010,83.5
Denmark,DNK,2011,92.0
Denmark,DNK,2012,84.4
Denmark,DNK,2013,82.6
Denmark,DNK,2014,83.0
