country,country_code,year,ewaste_recycling_rate_pct,population,gdp_current_usd
Austria,AUT,2010,79.9,8363404.0,389827789217.634
Austria,AUT,2011,81.5,8391643.0,428954737064.057
Austria,AUT,2012,80.0,8429991.0,406750487603.59
Austria,AUT,2013,79.0,8479823.0,426580502769.417
Austria,AUT,2014,79.6,8546356.0,438556021078.034
Austria,AUT,2015,81.1,8642699.0,379546097300.633
Austria,AUT,2016,81.8,8736668.0,393687359770.273
Austria,AUT,2017,80.2,8797566.0,414926138132.691
Austria,AUT,2018,79.8,8840521.0,452582294972.775
Belgium,BEL,2010,80.2,10895586.0,481556503720.001
Belgium,BEL,2011,77.7,11038264.0,527196649048.639
Belgium,BEL,2012,78.4,11106932.0,498414364944.961
Belgium,BEL,2013,79.1,11159407.0,524097026598.55
Belgium,BEL,2014,76.7,11209057.0,537987419164.351
Belgium,BEL,2015,77.4,11274196.0,461044767544.531
Belgium,BEL,2016,72.5,11331422.0,474271566739.729
Belgium,BEL,2017,75.1,11375158.0,500908767351.53
Belgium,BEL,2018,72.5,11427054.0,542638913427.921
Bulgaria,BGR,2010,78.4,7395599.0,50689051382.4361
Bulgaria,BGR,2011,82.3,7348328.0,57681293006.9721
Bulgaria,BGR,2012,84.0,7305888.0,54297052002.2338
Bulgaria,BGR,2013,83.5,7160005.0,55819262374.9039
Bulgaria,BGR,2014,84.9,7073572.0,57080897012.1077
Bulgaria,BGR,2015,85.6,6984225.0,50765918159.1476
Bulgaria,BGR,2016,81.5,6894139.0,53929397039.2106
Bulgaria,BGR,2017,83.7,6803468.0,59167647387.606
Bulgaria,BGR,2018,81.0,6710798.0,66251582035.9412
Croatia,HRV,2012,92.3,4260368.0,57551963753.2104
Croatia,HRV,2013,97.4,4233922.0,59852401272.3204
Croatia,HRV,2014,95.7,4201598.0,59612144078.4133
Croatia,HRV,2015,92.5,4151725.0,51005200669.6941
Croatia,HRV,2016,96.3,4106867.0,52654855638.1057
Croatia,HRV,2017,95.2,4041407.0,56186190437.9959
Croatia,HRV,2018,91.2,3988775.0,61668130122.5878
Cyprus,CYP,2010,71.6,1127816.0,25799940077.6075
Cyprus,CYP,2011,78.9,1146493.0,27641547909.7011
Cyprus,CYP,2012,86.6,1165397.0,25047436974.6819
Cyprus,CYP,2013,80.3,1183895.0,23959712860.8331
Cyprus,CYP,2014,89.4,1201801.0,23225918259.9824
Cyprus,CYP,2015,91.0,1219502.0,19909278416.8575
Cyprus,CYP,2016,87.8,1237112.0,21046462280.5979
Cyprus,CYP,2017,78.3,1254275.0,22946570628.7576
Czechia,CZE,2010,86.7,10474410.0,211168667286.27
Czechia,CZE,2011,86.8,10496088.0,231429378717.312
Czechia,CZE,2012,80.6,10510785.0,210363223087.728
Czechia,CZE,2013,91.1,10514272.0,213024360541.119
Czechia,CZE,2014,85.5,10525347.0,210911285077.683
Czechia,CZE,2015,82.5,10546059.0,189107698561.919
Czechia,CZE,2016,90.0,10566332.0,198160659303.939
Czechia,CZE,2017,86.9,10594438.0,221563575696.217
Czechia,CZE,2018,84.7,10629928.0,251992360762.236
Denmark,DNK,2010,83.5,5547683.0,322345594075.47
Denmark,DNK,2011,92.0,5570572.0,344315595263.175
Denmark,DNK,2012,84.4,5591572.0,326792574244.963
Denmark,DNK,2013,82.6,5614932.0,344631016965.12
Denmark,DNK,2014,83.0,5643475.0,352832602064.452
Denmark,DNK,2015,84.2,5683483.0,301758922337.637
Denmark,DNK,2016,86.4,5728010.0,312181849372.233
Denmark,DNK,2017,85.8,5764980.0,331610593961.988
Denmark,DNK,2018,80.7,5793636.0,355293374912.393
Estonia,EST,2010,82.7,1331475.0,19524355419.038
Estonia,EST,2011,69.5,1327439.0,23303915794.7569
Estonia,EST,2012,80.4,1322696.0,23237406116.3988
Estonia,EST,2013,66.0,1317997.0,25451032780.7573
Estonia,EST,2014,85.1,1314545.0,27055689003.0038
Estonia,EST,2015,86.7,1315407.0,23311847750.9394
Estonia,EST,2016,86.7,1315790.0,24561027787.7896
Estonia,EST,2017,85.7,1317384.0,27469461919.1189
Estonia,EST,2018,85.7,1321977.0,31222632740.7247
Finland,FIN,2010,88.5,5363352.0,249429613683.334
Finland,FIN,2011,89.1,5388272.0,275126915515.565
Finland,FIN,2012,89.4,5413971.0,257443384492.969
Finland,FIN,2013,87.9,5438972.0,270268036626.275
Finland,FIN,2014,87.8,5461512.0,273478528954.901
Finland,FIN,2015,92.5,5479531.0,233210733506.25
Finland,FIN,2016,88.9,5495303.0,238777818792.608
Finland,FIN,2017,90.0,5508214.0,253846138440.0
Finland,FIN,2018,89.7,5515525.0,273869255596.078
France,FRA,2010,77.4,65026211.0,2646230027988.34
France,FRA,2011,77.9,65340830.0,2870408553990.28
France,FRA,2012,76.7,65657659.0,2683007095787.23
France,FRA,2013,78.7,65997932.0,2816077607875.26
France,FRA,2014,80.8,66312067.0,2861236112552.42
France,FRA,2015,81.9,66548272.0,2442483452642.5
France,FRA,2016,81.9,66724104.0,2470407619777.13
France,FRA,2017,81.9,66918020.0,2588868323334.71
France,FRA,2018,74.2,67158348.0,2781576320884.39
Germany,DEU,2010,82.8,81776930.0,3468154343000.01
Germany,DEU,2011,83.9,80274983.0,3824828563521.41
Germany,DEU,2012,83.5,80425823.0,3597896500945.31
Germany,DEU,2013,82.8,80645605.0,3808086291482.36
Germany,DEU,2014,84.2,80982500.0,3965800686309.79
Germany,DEU,2015,79.3,81686611.0,3423568450957.03
Germany,DEU,2016,86.7,82348669.0,3537784107980.55
Germany,DEU,2017,85.8,82657002.0,3763092263752.95
Germany,DEU,2018,85.6,82905782.0,4052008447223.53
Greece,GRC,2010,98.0,11121341.0,296417644404.034
Greece,GRC,2011,90.9,11104899.0,283228079776.041
Greece,GRC,2012,90.2,11045011.0,238841140018.233
Greece,GRC,2013,90.6,10965211.0,236556279640.705
Greece,GRC,2014,84.0,10892413.0,233911581521.062
Greece,GRC,2015,89.6,10820883.0,194567373678.099
Greece,GRC,2016,85.4,10775971.0,193097239005.87
Greece,GRC,2017,78.8,10754679.0,200381103984.298
Greece,GRC,2018,80.7,10732882.0,213298873494.394
Hungary,HUN,2010,82.3,10000023.0,131898737241.166
Hungary,HUN,2011,87.7,9971727.0,141712804953.868
Hungary,HUN,2012,81.5,9920362.0,128470269689.958
Hungary,HUN,2013,87.7,9872734.0,135646053778.582
Hungary,HUN,2014,87.0,9833038.0,141128696412.321
Hungary,HUN,2015,83.3,9797755.0,125244126623.289
Hungary,HUN,2016,84.0,9759755.0,128983560865.293
Hungary,HUN,2017,84.2,9726756.0,143335098991.862
Hungary,HUN,2018,83.5,9706964.0,161184691013.835
Hungary,HUN,2019,68.12,9694824.0,164936682033.992
Hungary,HUN,2020,68.13,9670419.0,158468487754.196
Iceland,ISL,2010,66.6,318041.0,13751161917.7398
Iceland,ISL,2011,71.3,319014.0,15221622925.9319
Iceland,ISL,2012,73.8,320716.0,14751508133.5443
Iceland,ISL,2013,63.8,323764.0,16125060515.3117
