country,country_code,year,population
Albania,ALB,2022,2777689.0
Albania,ALB,2021,2811666.0
Albania,ALB,2020,2837849.0
Albania,ALB,2019,2854191.0
Albania,ALB,2018,2866376.0
Albania,ALB,2017,2873457.0
Albania,ALB,2016,2876101.0
Albania,ALB,2015,2880703.0
Albania,ALB,2014,2889104.0
Albania,ALB,2013,2895092.0
Albania,ALB,2012,2900401.0
Albania,ALB,2011,2905195.0
Albania,ALB,2010,2913021.0
Andorra,AND,2022,79705.0
Andorra,AND,2021,78364.0
Andorra,AND,2020,77380.0
Andorra,AND,2019,76474.0
Andorra,AND,2018,75162.0
Andorra,AND,2017,73763.0
Andorra,AND,2016,72181.0
Andorra,AND,2015,72174.0
Andorra,AND,2014,73737.0
Andorra,AND,2013,75194.0
Andorra,AND,2012,76834.0
Andorra,AND,2011,77783.0
Andorra,AND,2010,80706.0
Austria,AUT,2022,9041851.0
Austria,AUT,2021,8955797.0
Austria,AUT,2020,8916864.0
Austria,AUT,2019,8879920.0
Austria,AUT,2018,8840521.0
Austria,AUT,2017,8797566.0
Austria,AUT,2016,8736668.0
Austria,AUT,2015,8642699.0
Austria,AUT,2014,8546356.0
Austria,AUT,2013,8479823.0
Austria,AUT,2012,8429991.0
Austria,AUT,2011,8391643.0
Austria,AUT,2010,8363404.0
Belarus,BLR,2022,9228071.0
Belarus,BLR,2021,9302585.0
Belarus,BLR,2020,9379952.0
Belarus,BLR,2019,9419758.0
Belarus,BLR,2018,9438785.0
Belarus,BLR,2017,9458989.0
Belarus,BLR,2016,9469379.0
Belarus,BLR,2015,9461076.0
Belarus,BLR,2014,9448515.0
Belarus,BLR,2013,9443211.0
Belarus,BLR,2012,9446836.0
Belarus,BLR,2011,9461643.0
Belarus,BLR,2010,9483836.0
Belgium,BEL,2022,11680210.0
Belgium,BEL,2021,11586195.0
Belgium,BEL,2020,11538604.0
Belgium,BEL,2019,11488980.0
Belgium,BEL,2018,11427054.0
Belgium,BEL,2017,11375158.0
Belgium,BEL,2016,11331422.0
Belgium,BEL,2015,11274196.0
Belgium,BEL,2014,11209057.0
Belgium,BEL,2013,11159407.0
Belgium,BEL,2012,11106932.0
Belgium,BEL,2011,11038264.0
Belgium,BEL,2010,10895586.0
Bosnia and Herzegovina,BIH,2022,3204802.0
Bosnia and Herzegovina,BIH,2021,3244907.0
Bosnia and Herzegovina,BIH,2020,3299349.0
Bosnia and Herzegovina,BIH,2019,3345533.0
Bosnia and Herzegovina,BIH,2018,3387000.0
Bosnia and Herzegovina,BIH,2017,3428682.0
Bosnia and Herzegovina,BIH,2016,3473003.0
Bosnia and Herzegovina,BIH,2015,3518541.0
Bosnia and Herzegovina,BIH,2014,3564829.0
Bosnia and Herzegovina,BIH,2013,3610859.0
Bosnia and Herzegovina,BIH,2012,3670113.0
Bosnia and Herzegovina,BIH,2011,3741798.0
Bosnia and Herzegovina,BIH,2010,3811472.0
Bulgaria,BGR,2022,6465097.0
Bulgaria,BGR,2021,6507301.0
Bulgaria,BGR,2020,6550696.0
Bulgaria,BGR,2019,6616726.0
Bulgaria,BGR,2018,6710798.0
Bulgaria,BGR,2017,6803468.0
Bulgaria,BGR,2016,6894139.0
Bulgaria,BGR,2015,6984225.0
Bulgaria,BGR,2014,7073572.0
Bulgaria,BGR,2013,7160005.0
Bulgaria,BGR,2012,7305888.0
Bulgaria,BGR,2011,7348328.0
Bulgaria,BGR,2010,7395599.0
Croatia,HRV,2022,3855641.0
Croatia,HRV,2021,3878981.0
Croatia,HRV,2020,3914206.0
Croatia,HRV,2019,3949390.0
Croatia,HRV,2018,3988775.0
Croatia,HRV,2017,4041407.0
Croatia,HRV,2016,4106867.0
Croatia,HRV,2015,4151725.0
Croatia,HRV,2014,4201598.0
Croatia,HRV,2013,4233922.0
Croatia,HRV,2012,4260368.0
Croatia,HRV,2011,4280622.0
Croatia,HRV,2010,4295427.0
Cyprus,CYP,2022,1331370.0
Cyprus,CYP,2021,1317309.0
Cyprus,CYP,2020,1302247.0
Cyprus,CYP,2019,1286671.0
Cyprus,CYP,2018,1270737.0
Cyprus,CYP,2017,1254275.0
Cyprus,CYP,2016,1237112.0
Cyprus,CYP,2015,1219502.0
